BUREAU OF INDIAN STANDARDS,,,,,,,,,,
SOUTHERN REGIONAL LABORATORY,,,,,,,,,,
PHYSICAL VERIFICATION OF CAPITAL EQUIPMENT AS ON 29.02.2025 Mechanical Lab,,,,,,,,,,
S.No.,Name,Make,Cost Rs.P,Lab Code,Location,Dt. Rec.,Entry details in Fixed asset register,URL,QR Code,Status (Working/Not working/Condemned/To be condemned)
93,Vernier Calipers,Sri Sai Enterprises,17083.98,SM273VC 03,Mech,08.08.2022,,https://docs.google.com/document/d/1dKnMwbQgLccApU0soWKxAajLJT7ERmp5/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
94,Computerized Compressive Testing Machine(3000KN) with separate attachment for 500KN,Enkay Enterprises,369000,SM274CCTM 01,Mech,03.03.2021,7 A Register page no. 31,https://docs.google.com/document/d/1SFRBMRB4GoJrVBwEGKKU2VsAadU4Gn-o/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
95,Hot Air Oven-2 Nos,Digiqual Systems,249000,SM 275 HAO 05,MECH,01.12.2022,7 A Register page no. 180,https://docs.google.com/document/d/1TEj1OqprpkHEi9o7xXW2UXqScCQdJX2P/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
96,Hot Air Oven-2 Nos,Digiqual Systems,249000,SM 276 HAO 06,MECH,01.12.2022,7 A Register page no. 180,https://docs.google.com/document/d/1yIiehjkRmz9U4sauIHdkhBRXStnctjPK/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
97,Arrangement for Thermal Efficiency Testing,Baas Tech,19942,SM277TET01,Mech,06.12.2022,7 A Register page no. 2,https://docs.google.com/document/d/17F8OtpA8Pb7lGo6-XfT7Ekx13KVkzyuj/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
98,Hydropneumatic Cutter,BaaS TECH,221368,SM278HC01,Mech,02.01.2023,7 A Register page no. 183,https://docs.google.com/document/d/1Os3DVD89PIPYTuYRlxtD6Mf14rvbVO0y/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
99,Transperancy,DSH Equipments,46725,SC233TM01,Mech,06.11.2015,,https://docs.google.com/document/d/1AiCMZg8tCHInLGAcyV_ON0Cv9l6g44fM/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
100,Blood Penetration resistance apparatus,BAAS TECH,24190,SC275BP01,Mech,24.08.2020,,https://docs.google.com/document/d/1MY2NHHsh_zvAJ1kVlz-TWoxUhzBIwWm2/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
101,Incubator-1,SAKTHI INSTRUMENTS,79234,SC238IB04,Mech,29.03.2017,,https://docs.google.com/document/d/1GRgpjKCR7N7DvmDyJ6RTjwJ_HtvttBbt/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
102,Incubator-2,SAKTHI INSTRUMENTS,97325,SC231IB03,Mech,03.09.2015,,https://docs.google.com/document/d/1vH6VDbvaVvmgOtWoe9oSyzDGypQ7YWpb/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
103,Circular Saw Cutter,Goyal Engineering & Electricals,10267,SM 279 CSC 01,Mech,29.03.2023,7 A Register page no. 50.,https://docs.google.com/document/d/1Z2rUNvxXjDowZsBIHQRgOlc-J9KkCcPk/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
104,Light Intensity Meter,Hover Labs,10000,SM 280 LIM 01,Mech,29.03.2023,7 A Register page no. 16,Light Intensity Meter_SM280LIM01_MECH.docx,,Working
105,Vernier Caliper,True Sense,"19,132",SM 281 VC 01,Mech,30.03.2023,7 A Register page no. 167,Vernier Caliper_SM281VC01_MECH.docx,,Working
106,Digital Spherical Face Micrometer,Perfect Enterprises,19954,SM 282 DSFC 01,Mech,05.04.2023,7 A Register page no. 131,https://docs.google.com/document/d/1D--rQ1SSV9R1iaqX1ARjkIaAk1z_DL42/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
107,Humidifier,Vigyan Enterprises,11900,SM 283 HU 01,Mech,29.05.2023,7 A Register page no. 45,https://docs.google.com/document/d/1qzvaqbdVxun-CN8LROb8phPcUqF_hegG/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
108,Bench Top Cut-Off Saw,Batten Engineering India Private Limited,12570,SM 284 BTCS 01,Mech,10.08.2023,7 A Register page no. 35,https://docs.google.com/document/d/14mdI9ghP_OQosgxIgkaOFEgH8tZfdXkE/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
109,Eccentricity Gauge,BAAS TECH,6844,SM 285 EG 01,Mech,27.04.2023,7 A Register page no. 192,https://docs.google.com/document/d/1We-QPnqScVtVgXQh7fSgX9h7CTUC98U0/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
110,Verticality Gauge,BAAS TECH,11092,SM 286 VG 01,Mech,27.04.2023,7 A Register page no. 190,https://docs.google.com/document/d/1lDPdfpCNCmLcTUzcCnDlSSP_nDDjuvZ7/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
111,Fatigue resistance test equipment,BAAS TECH,248980,SM 287 FRTE 01,Mech,08.11.2022,7 A Register page no. 60,https://docs.google.com/document/d/11kZatlIhBoNhZseMc-8ndhDmHPgpIVbI/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
112,Automatic Blaine's appartus,AIMIL LTD,212400,SM 288 ABA 01,Mech,23-09-2023,7 A Register page no. 26,https://docs.google.com/document/d/1c_jFM2A6GUGHzGHciRptpr_UB7Fk53oK/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
113,Vibration Machine,AIMIL LTD,91450,SM 289 VM 01,Mech,25-11-2023,7 A Register page no. 38,https://docs.google.com/document/d/1PBBACaEf6WtR0qwjJuSPvmUUW0WHml6F/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
114,Automated Planetary Mixer,AIMIL LTD,102542,SM 290 APM 01,Mech,31-10-2023,7 A Register page no. 18,https://docs.google.com/document/d/1eXsBhvQSh2mLaOxei4PlMDIxXmI-6QfV/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
115,Thermal Shock Test Equipment,BAAS TECH,70564,SM 291 TSTE 01,Mech,15-09-2023,7 A Register page no. 32,https://docs.google.com/document/d/1HJ3l7vHgKp44V6BiyTg6Pdzb4ke7vfKW/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
116,Curing Tank,FERROTEK Equipment,249570,SM 292 CT 01,Mech,20-12-2023,7 A Register page no. 40,https://docs.google.com/document/d/1Fpv7FW781F1GEmcBdEqtZXpj7-DefWxV/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
117,UPVC End Fittings size 63 mm,Shiwa Engineers,35206.48,SM 293 UPVCEF 01,Mech,10/1/2024,7 A Register page no. 36,https://docs.google.com/document/d/1EcKUoGsR0Xzb2FY4UHeHxRy4bprBadG2/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
118,UPVC End Fittings size 75 mm,Shiwa Engineers,42311.26,SM 294 UPVCEF 02,Mech,10/1/2024,7 A Register page no. 36,https://docs.google.com/document/d/1NyAt8AIGg85cM4f3o0oKORC9nyQvobGT/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
119,UPVC End Fittings size 90 mm,Shiwa Engineers,52434.48,SM 295 UPVCEF 03,Mech,10/1/2024,7 A Register page no. 36,https://docs.google.com/document/d/1mr-Xakx2a3CiZLKXS5nSg-dg-YqATxbR/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
120,Gas Analyser (CO/CO2),Elmack Engg Services,204000,SM 296 GA 01,Mech,26-12-2024,7 A Register page no. 14,https://docs.google.com/document/d/1KvEzbprbX46-OmvDKB1PTizaxOwsKHg1/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
121,Lightweight Table Saw,Shrimma Power Tools,22420,SM 297 LTS 01,Mech,27-02-2024,7 A Register page no. 42,https://docs.google.com/document/d/19HoFWoB92QOW-g-nDDZ-S-Jnpwte_0PE/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true ,,Working
122,ACC Block Cutter,Shrimma Power Tools,30680,SM 298 ABC 01,Mech,27-02-2024,7 A Register page no. 43,https://docs.google.com/document/d/17byYljFCJnHYWyHxtsVVV_zHud8OM796/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
123,Belt Grinder,Shrimma Power Tools,10030,SM 299 BG 01,Mech,27-02-2024,7 A Register page no. 44,https://docs.google.com/document/d/127UyZmEfj4EcSryQp9Gj1sJdWq-ndlDl/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
124,Vitreous Sanitary ware Fixture for load bearing test,Baas Tech,146320,SM 300 VSF 01,Mech,26-02-2024,7 A Register page no. 51,https://docs.google.com/document/d/1C9zRxV7Nt2LsOhAn6nzyi8qvguM16jncUWhn5FjZSKk/edit,,Working
125,Squareness Gauge 500*500,S.A.TOOLS,19470,SM 301 SQ 01 A,Mech,9-11-23,7 A Register page no. 46,https://docs.google.com/document/d/1Q443JVomN6gOyECiTX2ZBYPmc7AfvdvrkQtoCezE09M/edit,,Working
126,Squareness Gauge 1200*1200,S.A.TOOLS,38350,SM 302 SQ 01 B,Mech,9-11-23,7 A Register page no. 47,https://docs.google.com/document/d/1w9CGmYKb4wPi8hf4eBPVYWFN4AIXCzBkFKnpAwo5NKc/edit,,Working
127,Straightness Gauge 2500*50,S.A.TOOLS,35164,SM 303 ST 01,Mech,9-11-23,7 A Register page no. 48,https://docs.google.com/document/d/17c_Tov8haK0lqVpfjMZ4h9GxBwNgonu5wIFTeTe21_8/edit,,Working
128,Impact Wrench,Goyal Tool House,20795.52,SM 304 IW 01,Mech,20-10-2023,7 A Register page no. 49,https://docs.google.com/document/d/1zyRGook64DLDYsPgAe9SJXycvn7uBDibrUNVBoXrAzI/edit,,Working
129,Coating Thickness Gauge,Khushboo Scientific Private Limited,100000,SM 305 CTG 01,Mech,21-03-2024,7 A Register page no. 52,https://docs.google.com/document/d/1wt6_b0UCcaqwNk5ZsdR3_vcAxzG4ZnmX8f3_cUycKBc/edit,.,Working
130,Semi Micro Balance,Nona Technologies Private Limited,124993,SM 306 SMB 01,Mech,28-03-2024,7 A Register page no. 53,https://docs.google.com/document/d/1h9wcAiAWAX2ay6c-9QBqib3GbdxJTx-uc4Wy3ByHZtA/edit,,Working
131,VICAT Softening Temperature Apparatus,Deepak Poly-Plast Pvt Ltd,212784,SM 307 VST 02,Mech,22.07.2024,7 A Register page no. 54,https://docs.google.com/document/d/1dcRGQsGFB7RnXBHyvVMYHUeIiCQ9rI3m/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
132,Sodium Chloride Bath,Sigma Scientific Products,123900,SM 308 SCB 01,Mech,06-08-2024,7 A Register page no. 55,https://docs.google.com/document/d/14HaGyhesPOBc7aF6OdUpYRA3Nzdr9n7q/edit?usp=sharing&ouid=106109192942827944520&rtpof=true&sd=true,,Working
133,Glacial Acetic Acid Bath,Sigma Scientific Products,123900,SM 309 GAB 01,Mech,06-08-2024,7 A Register page no. 56,https://docs.google.com/document/d/1025rqiS9xQxFsNmAjG37ven_PiVhb0Gt/edit,,Working
134,Vertical Band Saw,Accurate Cutting Systems Pvt. Ltd.,1600000,SM 310 BS 02,Mech,30-08-2024,7 A Register page no. 57,https://docs.google.com/document/d/1OVal3IIX56H6hRIYGdxO95gd-cG6hY6z/edit,,Working
135,Static Bending Test Equipment,Bluestar Engineering & Electronics Ltd,2372500,SM 311 SBTE 01,Mech,25-03-2024,7 A Register page no. 58,Static Bending Test Equipment.docx - Google Docs,,Working
136,Test set up for induction and 3 ply bottom cookers,BAAS TECH,"2,48,980",SM 312 TSCK 01,Mech,13.09.2024,7 A Register page no. 62,Test set up for induction and 3 ply bottom cookers.docx - Google Docs,,Working
137,Humidity Chamber,Digiqual Systems,154633,SM 313 HC 05,Mech,28.09.2024,,Humidity Chamber.docx - Google Docs,,Working
138,Humidity Chamber,Digiqual Systems,154633,SM 314 HC 06,Mech,30.09.2024,,Copy of Humidity Chamber 06.docx - Google Docs,,Working
139,Humidity Chamber,Digiqual Systems,154633,SM 315 HC 07,Mech,30.09.2024,,Humidity Chamber 07.docx - Google Docs,,Working
140,Cooker Handle Test Bench,Fabricon Engineering Technology,"2,48,980",SM 316 CHTB 01,Mech,13.09.2024,7 A Register page no. 64,Cooker Handle Test Bench.docx - Google Docs,,Working
141,Hardwood Board with Steel Frame Fixture,BAAS TECH,74812,SM 317 HBSF 01,Mech,13.09.2024,7 A Register page no. 63,https://docs.google.com/document/d/1gwaVGn6nmetPrfIeQ-xD1PLFwawdKVZB/edit,,Working
142,OPACITY Tester,Deepak Poly-Plast Pvt Ltd,85226,SM 318 OT 02,Mech,25.09.2024,7 A Register page no. 59,https://docs.google.com/document/d/18cYfdI6l53cQjNDL-4gmgduP2IP_s6x2/edit,,Working
143,Melt Flow Rate Index TESTER,Deepak Poly-Plast Pvt Ltd,136134,SM 319 MFR 01,Mech,25.09.2024,7 A Register page no. 61,Melt Flow Rate Index Tester.docx - Google Docs,,Working
144,Environmental Stress Cracking Resistance Apparatus,Deepak Poly-Plast Pvt Ltd,265500,SM 320 ESCR 01,Mech,12.11.2024,7 A Register page no. 65,Environmental Stress Cracking Resistance Apparatus .docx - Google Docs,,Working
145,Gas Flow Meter,Instrumentation and Scientific Instruments Pvt. Ltd.,42480,SM 321 GF 04,Mech,25.11.2024,7 A Register page no. 66,Gas Flow Meter.docx - Google Docs,,Working
146,Storage Rack,MACTECH ENGINEERS PRIVATE LIMITED,"61,714",SM 322 SR 01,Mech,08.11.2024,7 A Register page no. 68,https://docs.google.com/document/d/1_vAK8EQmKZAau6uR4rCyQXrio8UP04GL/r/edit/edit,,Working
147,Autoclave for vitreousware,FERROTEK Equipment,407100,SM 323 AC 07,Mech,27.12.2024,7 A Register page no. 67,Autoclave for vitreous ware.docx - Google Docs,,Working
148,Water resistance test equipment,Digiqual Systems,174720,SM 324 WRTE 01,Mech,6.11.2024,7 A Register page no. 72,https://docs.google.com/document/d/1UO9CzDfIuVeQlBZ35aMEhfNU52iPRK8a/edit,,Working
149,Water resistance test equipment,Digiqual Systems,174720,SM 325 WRTE 02,Mech,6.11.2024,7 A Register page no. 72,WATER RESISTANCE TEST EQUIPMENT SM 325.docx - Google Docs,,Working
150,Water resistance test equipment,Digiqual Systems,174720,SM 326 WRTE 03,Mech,6.11.2024,7 A Register page no. 72,WATER RESISTANCE TEST EQUIPMENT SM 326.docx - Google Docs,,Working
151,Curing Tank,FERROTEK Equipment,278385,SM 327 CT 02,Mech,29.01.2025,,https://docs.google.com/document/d/1G7L-1Wq_jyb9vDIrnvbksCLjkZpaCTgV/edit,,Working
152,Automatic Compression Testing Machine,AIMIL Ltd,"14,00,000",SM 328 ACTM 02,Mech,29.10.2024,7 A Register page no. 69,https://docs.google.com/document/d/1t4kCtHglJHCXWhmuRYG2h9y-y1ZAdpSH/edit,,Working
153,ACC Block Cutter,DM CORPORATION,"2,38,478",SM 329 ABC 02,Mech,13.02.2025,7 A Register page no. 70,https://docs.google.com/document/d/1WPfz2YuWx-DuAenn_YXUC9ok4lnQmlBl/edit,,Working
154,Water Bath,Sigma Scientific Products,49500,SM 330 WB 02,Mech,09.01.2025,7 A Register page no. 71,WATER BATH .docx - Google Docs,,Working
155,B.O.D Tray,Sigma Scientific Products,"1,13,280 ",SM 331 BOD 01 - 15,Mech,17-03-2025,7 A Register page no. 71,https://docs.google.com/document/d/1mytDrNx9UlUEitij2yExYtSw6smr2ELN/edit?usp=sharing&ouid=106109192942827944520&rtpof=true&sd=true,,Working
156,CEMENT AUTOCLAVE,FERROTEK Equipment,"2,30,100.00",SM 331 CA 01,Mech,01-05-2025,7 A Register page no. 71,https://docs.google.com/document/d/1YaLeCN4S_eBxQ81ARNoDJC6biSxer8NN/edit,,Working
157,Storage Racks,MACTECH,122720,SM 322 SR 02,Mech,11-10-2025,7 A Register page no. 68,https://docs.google.com/document/d/12NAunw7YLzzIfdhxBi_VbkvcHAxVLj1S/edit,,Working
158,Storage Racks,MACTECH,"77,172",SM 322 SR 03,Mech,11-10-2025,7 A Register page no. 68,https://docs.google.com/document/d/18jHW204U3n2GXKPDxcPhOP48O7T1tqR0/edit,,Working
159,Storage Racks,MACTECH,72452,SROL/SC/RACK/02,Mech,11/10/2025,7 A Register page no. 68,https://docs.google.com/document/d/1t-5cUkTjK10xZ38jn9PfwUoo2ERG95ts/edit,,Working
160,Leakage Test ,BASS TECH,28084,SM 334 LTWB 01,Mech,10-09-2025,7 A Register page no. 77,https://docs.google.com/document/d/1sw0582JBY7708FjgJUPzeKxgeGNMxKxo/edit,,working 
161,Hot Air Oven,Ferrotek Equipments,165200,SM 335 HAO 07,Mech,06-08-2025,7 A Register page no.78,https://docs.google.com/document/d/1QuAD6fuPp-Mi6d3jfgCaGHEwoyg_exe4/edit,,working 
162,DIGITAL MAN HOLE COVER TESTING MACHINE,EIE INSTRUMENTS PVT. LTD.,"4,98,998.40",SM 336 DMHC 01,Mech,16-10-2025,7A Register Page No.79,https://docs.google.com/document/d/111v5guhhmqIUOT5YicJYUTAVdxWFBJPQ/edit,,working 
163,SEEPAGE TEST ARRANGEMENT ,BASS TECH,486160,SM 337 STA 01,MECH,21-11-2025,7A REGISTER PAGE NO. 80,https://docs.google.com/document/d/1xucM59wG2JM8gT1aNrK8NZ9QEfchckYF/edit,,
164,FIXING STRENGTH OF THE HANDLE TEST EQUIPMENT,BASS TECH,362260,SM 338 FSHT 01,MECH,07-11-2025,7A REGISTER PAGE NO. 81,https://docs.google.com/document/d/1MgROVnlNHI24KnOBDE4DLIIxZzSc5bk8/edit,,
165,DIGITAL Vernier Caliper(MITUTOYO),SAUPTIK TRADING COMPANY,"13,200",SM 339 VC 04,Mech,02-01-2026,7 A Register page no. 167,https://docs.google.com/document/d/15bhCCWQoXeftN_kXT-Mf-0pOX3rDsp0-/edit,,
166,DIGITAL Vernier Caliper (MITUTOYO),SAUPTIK TRADING COMPANY,"13,200",SM 340 VC 05,Mech,02-01-2026,7 A Register page no. 167,https://docs.google.com/document/d/1X0ELxAuQBPf-lUjE94yzRyqhQYbWJJpZ/edit,,
167,MICROMETER (MITUTOYO),SHUBIKA ENTERPRISES,"14,349.00",SM 341 MM 02,Mech,13-02-2026,7 A Register page no. 131,https://docs.google.com/document/d/1M4e2siEkhwW6unwJUlfU5oTVEB8ZtIaS/edit,,
168,PEDESTAL FAN ESTEEM ( BAJAJ),AASHIRWAD SALES,"3,131.00",SM 342 BPF 01,Mech,19-02-2026,7A REGISTER  PAGE NO. 82,https://docs.google.com/document/d/1ht6qudSjRQLCv2-9V8Gf2Vev75Ltynzn/edit,,
169,FIXED BASE BENCH VISE ,BHARAT UDYOG IMPEX,"15,574.41",SM 343 BV 01  & SM 343 BV 02,Mech,18-02-2026,7A REGISTER  PAGE NO. 83,https://docs.google.com/document/d/1JoxrhSVKfpPKdP421dvu3jF2Y_UxnKp7/edit,,
170,BURST TEST EQUIPMENT FOR LPG CYLINDERS,VANSH INDUSTRIES,"2,12,400.00",SM 344 BTE 01,Mech,27-02-2026,7A REGISTER  PAGE NO. 84,https://docs.google.com/document/d/1QqpL0_bEnEKY0xAZbJL-vjMU-F2gNpQZ/edit,,
171,WOOD DUST COLLECTOR ,CLEANTEK,"57,820.00",SM 345 WDC 01,Mech,02-02-2026,7A REGISTER  PAGE NO. 85,https://docs.google.com/document/d/1sBef_bXOWyuNmfFpXJFWtyikAW7X1XRm/edit,,
172,WOOD DUST COLLECTOR ,CLEANTEK,"44,250.00",SM 345 WDC 02,Mech,01-12-2026,7A REGISTER  PAGE NO. 85,https://docs.google.com/document/d/1hAZcbKXA_9AfixaTEIwQmt4a0_mhDKRf/edit,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
