BUREAU OF INDIAN STANDARDS,,,,,,,,,,
SOUTHERN REGIONAL LABORATORY,,,,,,,,,,
PHYSICAL VERIFICATION OF CAPITAL EQUIPMENT AS ON 29.02.2025 Mechanical Lab,,,,,,,,,,
S.No.,Name,Make,Cost Rs.P,Lab Code,Location,Dt. Rec.,Entry details in Fixed asset register,URL,QR Code,Status (Working/Not working/Condemned/To be condemned)
23,COMPRESSION TESTING MACHINE,AIMIL,603352,SM206ACTM01,CEM,20.3.2012,7 REGISTER PAGE NO. 22,https://docs.google.com/document/d/1VhjTA0CoXVbZhTa8HtPQIunBra3nFpLT/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
24,HOT AIR OVEN,MEPCCO,44136,SM207AO04,GH,14.02.2014,,https://docs.google.com/document/d/1pR_hX2mX6ORkLwF2dO8Mxfjrgr_24HYk/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
25,DIAL CALIPER,MEHTA DOSHI & CO.,10133,SM209DC01,MET,25.3.2015,,https://docs.google.com/document/d/1iHdSy9YYE2S-wEV0GeTmXD8cIebn9YOy/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
26,DUMB-BELL CUTTING DIE,PROLIFIC ENGINEERS,16245,SM211DCT02,GH,17.7.14,7 REGISTER PAGE NO. 36,https://docs.google.com/document/d/1icYMQAgTsPJjIxnW1ecnHbeqIMfVfyTo/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
27,THREAD GAUGE,ENGINEERING NEEDS,21602,SM212TG01,GH,22.11.2016,7 REGISTER PAGE NO. 157,https://docs.google.com/document/d/101yFkEpyDYAycctlmHN1vXSRi5U2MWKv/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
28,GLOSS REFLECTANCE METER,https://docs.google.com/document/d/1fjeqJZhWxr7Qt8RJQql-hV0Uswd7SaG4/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,64699,SM213GM02,GH,23.12.2016,7 REGISTER PAGE NO. 59,https://docs.google.com/document/d/1fjeqJZhWxr7Qt8RJQql-hV0Uswd7SaG4/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
29,OPACITY TESTR,ELMECH PNEUMATIC INDUSTRIES PVT.TLD,74762,SM214OT04,TEX,30.12.2016,7 REGISTER PAGE NO. 111,https://docs.google.com/document/d/1nr8OdaqWClz4btwI4PHxThtf9r1xOdRM/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
30,PRESSURE TESTING FIXTURE,SAKTHI INSTRUMENTS,64120,SM215TF01,Mech,24.10.2016,7 REGISTER PAGE NO. 137,https://docs.google.com/document/d/1CpDF_O1OvSvqgNISwSGYXJmqHsPlfbi9/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
31,Dart Impact Tester,SAKTHI INSTRUMENTS,74425,SM216DIT01,Mech,05-01-2017,7 REGISTER PAGE NO. 31,https://docs.google.com/document/d/1CPlp_U7JAuX7qyRjKE-CmZcTcLpsy1MJ/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
32,Flame Test Indicator,SAKTHI INSTRUMENTS,4514,SM217FT01,Mech,9/11/2017,7 REGISTER PAGE NO. 147,https://docs.google.com/document/d/1AGIBSXyCNw-f8SYAznoLnTnqN5gYfiuS/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,, 
